epoch,auc,accuracy,f1_score,loss,precision,recall,val_auc,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.937673211,0.874117672,0.874446094,0.326940984,0.874446094,0.874446094,0.582933068,0.511538446,0.507425725,0.773972452,0.507425725,0.507425725
1,0.958988726,0.917058766,0.916912854,0.258449793,0.916912854,0.916912854,0.470211238,0.50432694,0.507425725,1.145292401,0.507425725,0.507425725
2,0.959826887,0.917132378,0.917651415,0.245353982,0.917651415,0.917651415,0.455923408,0.512980759,0.514851511,1.131107092,0.514851511,0.514851511
3,0.965593934,0.923602939,0.923929095,0.230218709,0.923929095,0.923929095,0.485424221,0.533173084,0.537128687,1.434243083,0.537128687,0.537128687
4,0.965680063,0.921838224,0.921713471,0.229697362,0.921713471,0.921713471,0.578108132,0.546634614,0.549504936,1.110939026,0.549504936,0.549504936
5,0.964235008,0.923455894,0.923559844,0.229481295,0.923559844,0.923559844,0.585821927,0.54471153,0.544554472,0.793221056,0.544554472,0.544554472
6,0.961852431,0.912647009,0.912481546,0.243461236,0.912481546,0.912481546,0.49549064,0.551442266,0.554455459,1.331475616,0.554455459,0.554455459
7,0.96658498,0.925808787,0.926144779,0.223701268,0.926144779,0.926144779,0.972340286,0.916826904,0.915841579,0.213122264,0.915841579,0.915841579
8,0.966310084,0.929558814,0.929468215,0.224190652,0.929468215,0.929468215,0.942922294,0.896634638,0.893564403,0.319714695,0.893564343,0.893564343
9,0.962934673,0.912426472,0.912481546,0.240342602,0.912481546,0.912481546,0.962212622,0.899999976,0.898514867,0.252959341,0.898514867,0.898514867
10,0.969342589,0.923602939,0.923929095,0.216549516,0.923929095,0.923929095,0.980568647,0.925961554,0.928217828,0.176782131,0.928217828,0.928217828
11,0.965946913,0.925661802,0.925775468,0.224791914,0.925775468,0.925775468,0.975615144,0.940865397,0.940594077,0.194455549,0.940594077,0.940594077
12,0.970961154,0.928235292,0.928360403,0.207592785,0.928360403,0.928360403,0.98150003,0.949519217,0.948019803,0.169583261,0.948019803,0.948019803
13,0.969511032,0.926397085,0.92651403,0.214262113,0.92651403,0.92651403,0.985093355,0.95528847,0.955445528,0.164676785,0.955445528,0.955445528
14,0.972696662,0.929411769,0.929098964,0.205473751,0.929098964,0.929098964,0.98418957,0.943269193,0.943069279,0.164692163,0.943069279,0.943069279
15,0.975065589,0.932426453,0.93279171,0.194879919,0.93279171,0.93279171,0.988876641,0.95528847,0.955445528,0.133057341,0.955445528,0.955445528
16,0.974393904,0.931323528,0.931683898,0.194983587,0.931683898,0.931683898,0.97651577,0.94182688,0.943069279,0.182604551,0.943069279,0.943069279
17,0.975569606,0.936544061,0.936484516,0.192604527,0.936484516,0.936484516,0.980571806,0.944711566,0.943069279,0.20574449,0.943069279,0.943069279
18,0.977726758,0.933750033,0.933899581,0.18473427,0.933899581,0.933899581,0.97891444,0.950480759,0.950495064,0.186702639,0.950495064,0.950495064
19,0.981676877,0.942794085,0.942762196,0.16690667,0.942762196,0.942762196,0.98198396,0.928846121,0.928217828,0.171734795,0.928217828,0.928217828
20,0.978632212,0.944632292,0.944608569,0.174367413,0.944608569,0.944608569,0.984829903,0.954326928,0.952970326,0.168781966,0.952970326,0.952970326
21,0.980724633,0.948308766,0.948301315,0.16553463,0.948301315,0.948301315,0.989327073,0.963942289,0.962871313,0.135169998,0.962871313,0.962871313
22,0.983838022,0.952132344,0.952363372,0.151184052,0.952363372,0.952363372,0.983965993,0.925480783,0.923267305,0.186889574,0.923267305,0.923267305
23,0.983074009,0.948823571,0.949039876,0.157330945,0.949039876,0.949039876,0.957522571,0.887500048,0.88861388,0.293849826,0.88861388,0.88861388
24,0.98476851,0.95036763,0.950147688,0.149677932,0.950147688,0.950147688,0.94047147,0.894230783,0.891089082,0.354956836,0.891089082,0.891089082
25,0.98454982,0.950294137,0.950516999,0.152565628,0.950516999,0.950516999,0.971044421,0.919230759,0.918316841,0.232398704,0.918316841,0.918316841
26,0.985681772,0.95264703,0.953101933,0.145480841,0.953101933,0.953101933,0.994044721,0.971153855,0.970297039,0.10241738,0.970297039,0.970297039
27,0.989811003,0.96360296,0.96344167,0.119535677,0.96344167,0.96344167,0.992647767,0.96875,0.967821777,0.105542667,0.967821777,0.967821777
28,0.99044311,0.963014662,0.96307236,0.116690032,0.96307236,0.96307236,0.993474901,0.975480735,0.977722764,0.094739318,0.977722764,0.977722764
29,0.990302086,0.963235319,0.96307236,0.116895013,0.96307236,0.96307236,0.99234128,0.975961566,0.975247502,0.093999721,0.975247502,0.975247502
30,0.991780758,0.963749945,0.963810921,0.110530555,0.963810921,0.963810921,0.990423799,0.969711542,0.970297039,0.109861694,0.970297039,0.970297039
31,0.992140532,0.963529408,0.963810921,0.105681323,0.963810921,0.963810921,0.992506862,0.964903831,0.965346515,0.103846669,0.965346515,0.965346515
32,0.991344094,0.96360296,0.96344167,0.10938184,0.96344167,0.96344167,0.991054833,0.96875,0.967821777,0.10557308,0.967821777,0.967821777
33,0.992075562,0.967279434,0.967134416,0.104261898,0.967134416,0.967134416,0.993297279,0.975961566,0.975247502,0.090990975,0.975247502,0.975247502
34,0.993261337,0.965808809,0.965657294,0.097610161,0.965657294,0.965657294,0.994687974,0.975961566,0.975247502,0.080641776,0.975247502,0.975247502
35,0.991826892,0.964485288,0.964549482,0.106624722,0.964549482,0.964549482,0.989207447,0.971153855,0.970297039,0.108888,0.970297039,0.970297039
36,0.992428839,0.970220566,0.970088601,0.097922355,0.970088601,0.970088601,0.991992176,0.974519193,0.975247502,0.098354645,0.975247502,0.975247502
37,0.992096782,0.96875,0.968611598,0.102680422,0.968611538,0.968611538,0.992151558,0.980769217,0.980198026,0.086690687,0.980198026,0.980198026
38,0.99328506,0.967058778,0.967134416,0.097101763,0.967134416,0.967134416,0.993499398,0.974519193,0.975247502,0.092419319,0.975247502,0.975247502
39,0.993682861,0.966470599,0.966765165,0.094735362,0.966765165,0.966765165,0.993860841,0.974038482,0.977722764,0.091290958,0.977722764,0.977722764
40,0.994177163,0.969632328,0.96971935,0.092075452,0.96971935,0.96971935,0.992176056,0.978365362,0.977722764,0.092881635,0.977722764,0.977722764
41,0.99281776,0.967794061,0.967872977,0.096530601,0.967872977,0.967872977,0.993833363,0.975961566,0.975247502,0.087281123,0.975247502,0.975247502
